id,name,addressLine1,addressLine2,city,state,zip,contact,phone,fax,email,web,aircraft,course,notes,airport,country,instructors
70,"Arizona Soaring, Inc.",Estrella Sailport,P.O. Box 858,Maricopa,AZ,85239,Jason Stephens,520-568-2318,,jason@azsoaring.com,www.azsoaring.com,"MDM-1 Fox, Grob G103A","Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Glider aerobatics",Teaching glider aerobatics for 40 yrs.  Three time U.S. National Champion,"E68 -- Maricopa, AZ",USA,"Jason Stephens: CFI, Bruce Waddell: CFI"
71,FlipSide Aerobatics,Auburn Airport,P.O. Box 1915,Issaquah,WA,98027,Will Allen,425.785.9922,,will@flipsideaerobatics.com,www.flipsideaerobatics.com,Pitts S-2B,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics","Aircraft available competition flying with safety pilot if a current customer, based at RNT May-Sept, Tucson in winter.","KRNT -- Renton, WA",USA,"Will Allen: CFI, Rochelle Oslick: CFI"
72,Sky Thrills!,3815 W. Commonwealth Ave.,Suite B,Fullerton,CA,92833,Michael Blackstone,714-402-4888,,skythrills@gmail.com,www.skythrills.com,"Pitts S-2C, Extra 300L, Marchetti SF-260, Waco YMF-5C","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Teaching aerobatics for 18 years.,"FUL -- Fullerton, CA",USA,Michael Blackstone
73,Greg Woods Aerobatics,618 Pineneedle Lane,,Englewood,FL,34223,Greg Woods,941-587-2277,,bleauskie@yahoo.com,,Extra 200,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics","Sharpen your flying skills and have fun doing it in the certified Extra 200. Offering basic-advanced instruction, aerobatic training is proven to produce safer and more proficient pilots. Ask the airlines and the military!","VNC -- Venice, FL",USA,Greg Woods: CFI
76,"Multi-Aero, Inc.",P.O. Box 4211,,Houma,LA,70361-4211,Darryl K. Christen,985-851-1516,985-851-3401,darryl@dchristen.com,,Giles 202,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",Primary and Sportsman maneuvers. G-202 checkout.  Customer designed training.," -- Houma, LA",USA,Darryl K. Christen: CFI
77,Attitude Aviation,299 W. Jack London Blvd,,Livermore,CA,94551,Rich Perkins,925-456-2276,925-456-2201,ATTAV@AOL.COM,www.AttitudeAviation.com,"Pitts S-2C, Great Lakes, Waco Classic, Marchetti SF260, North American T-6, L-39 Albatros (Jet)Citabria GCBC, Citabria 7ECA, Cessna 152A Aerobat, Cessna 172M, Cessna 172SP, Grumman AA-1B, Piper A3 Cub, Super Decathlon 8KCAB","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Primary thru Advanced aerobatics.  High performance/complex.  Air Combat. Formation.,"KLVK -- Livermore, CA",USA,"Rich Perkins: CFI, Rhett Boeger: CFI, Edward Doerr: CFI, Rolf Peterson: CFI, Yuichi Takagi: CFI, Mark Little: CFI, Bill Donovan: CFI, James Pabst: CFI, Allen Kukucka: CFI"
78,Hammerhead Aerobatics,5757 SW Meridian Way,,Tualatin,OR,97062,Renny Price,503-381-5564,503-638-6174,rennyprice@msn.com,www.hammerheadaerobatics.com,Su-29,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",FAA waiver to provide dual instruction. Intro to sport aerobatics - 3 hr. customized to customer's requirements.,"KUAO -- Aurora, OR",USA,Renny Price: CFI
79,Blackhawk Aviation/Blue Feather Aero,Dona Ana Airport,8094 Airport Road,Dona Ana,NM,88008,Sam Dawson,816-529-0358,505-589-5863,dawsonuh60@yahoo.com,www.samdawsoncfi.com,8KCAB Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"5T6 -- Dona Ana, NM",USA,Samuel Dawson: CFI
80,Blackhawk Aviation,"El Paso Int'l (KELP), Horizon Airport (T27)",,El Paso,TX,,Sam Dawson,816-529-0358,505-589-5863,dawsonuh60@yahoo.com,www.samdawsoncfi.com,"Citabria (KELP), Pitts S-2B (T27)","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Pitts Checkout",," -- El Paso, TX",USA,Samuel Dawson: CFI
81,University of North Dakota at Grand Forks,2806 Airport Drive,,Grand Forks,ND,58203,Greg Gilmer,701-777-7855,,ggilmer@aero.und.edu,www.aero.und.edu,American Champion Super Decathlon (2),"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Must be a full or part time University of North Dakota student to enroll.,"GFK -- Grand Forks, ND",USA,""
82,Wild Aerobatics,3216 Emerald Pl,,Kokomo,IN,46902,Mike Wild,765-860-3231,,mike.wild@hotmail.com,www.wildaerobatics.com,"Super Decathlon, Pitts S2B, J-3 Cub","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"KOKK -- Kokomo, IN",USA,"Mike Wild: CFI, Greg Aldridge: CFI"
83,Draggin Tail Flight Training,4412 Brook Forest Dr,,Panama City,FL,32404,Chris H Becker,850-763-4645,,chrishbecker@hotmail.com,,Citabria 7ECA,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",A short drive from the World\'s Most Beautiful Beaches!  Tailwheel and Acro fun in the wilds of Northwest Florida.,"2FL0 -- Panama City, FL",USA,Chris Becker: CFI
84,Powers Performance Aviation,1935 North Marshall Avenue,,El Cajon,CA,92020,Eamonn Powers,619-318-8364,,info@flyppa.com,www.flyppa.com,"Aeronca Champ, Citabria 7KCAB, Super Decathlon 8KCAB","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"KSEE -- San Diego, CA",USA,Eamonn Powers: CFI
85,Silver Ace Aviation,460 Dividend Drive,Hangar D22,Peachtree City,GA,30269,Bill Mercure,770-486-1893,,silace@bellsouth.net,www.silveraceaviation.com,Pitts S-2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",Cell phone:  404-372-2771,"KFFC -- Peachtree City, GA",USA,"Adam Mercure: CFI, Bill Mercure: CFI"
86,Steve Johnson Aerobatics,1128 Silverleaf Terrace,,Nashville,TN,37221,Steve Johnson,615-557-2364,,gjunkie1@aol.com,www.stuntplane.com,"We have an MX Aircraft MX2 on site for dual instruction/training!  Or, we can train in your aircraft; Decathlon, Pitts, RV, etc.","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",,"JWN -- Nashville, TN",USA,Steve Johnson: CFI
87,Tutima Academy of Aviation Safety - Sean D. Tucker,250 Airport Drive,,King City,CA,93930,Chelsea Engberg,657-888-4621,831 385-6582,info@tutimaacademy.com,www.TutimaAcademy.com,"Extra 300L, Pitts S-2C, Pitts S-2B","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",World class instruction staff/equipment.  All instructors are SAC card holders / airshow pilots.  Proven competition success. Formation and formation aerobatic training also available.,"KIC -- King City, CA",USA,""
89,"Miami Fly, Inc.",PO Box 164924,,Miami,FL,33116,Eusebio Valdes,(305) 255-5519,,info@miamifly.com,www.miamifly.com,Decathlon 8K-CAB,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Eusebio has been instructing for 25 years and has 18,000 hrs","KTMB -- Kendall Tamiami, FL",USA,Eusebio Valdes: CFI
90,Ted Sorensen,91 Sanderling Close NW,,Calgary,Al,T3K 2Z7,Ted Sorensen,403-730-9486,,jamesel@shaw.ca,,Student suppled only (so far),"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, RV aerobatics, Glider aerobatics",,"--- -- Calgary, Alberta",Canada,""
91,"Sky Dynamics, Inc.",8777 S.E. 71st Court,,Ocala,FL,34472,Kevin Campbell,469-766-2364,,MX2FLYR@comcast.net,,"MX2, S2B, RV 6,7,8","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",We only train in YOUR aircraft.,"... -- Ocala, FL",USA,Kevin S. Campbell: CFI
92,West Coast Spin Doctors,61 Greywolf Air Court,,Sequim,WA,98382,Mike Mason,206 369 9924,,roundmotor@gmail.com,www.westcoastspindoctors.com,"450 Stearman, 7KCAB","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"CLM -- Sequim, WA",USA,Michael Mason: CFI
93,Aerobatic Adventures,1020 Chesterfield Forest Dr.,,Chesterfield,MO,63005,John Housley,314-518-8542,,johnhousley@aerobatic-adventures.com,http://www.aerobatic-adventures.com,Pitts S-2B,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Located at Creve Coeur Airport (1H0),"1H0 -- Creve Coeur, MO",USA,John Housley: CFI
94,SunQuest Aviation,11600 Aviation Blvd. #20,,West Palm Beach,FL,33412,Tamara Prinz,561-627-0037,561-627-0131,fly@sunquestaviation.com,www.sunquestaviation.com,"Piper SuperCub, Pitts S2A","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",,"F45 -- West Palm Beach, FL",USA,"Joe Brinker: CFI, Cory Wallace: CFI"
95,WingOver Aerobatics LLC,5720 Crestview Drive,,Lady Lake,FL,32159,Kathy Hirtz/Steve Wolf,352-728-5667,,ithirtz@aol.com,www.wingoveraerobatics.com,"Pitts S2B, Zlin 242L","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","We let you take off, land and fly the Pitts from the front or back seat. Pitts checkout complete w/multiple approach techniques, all known spins thoroughly covered, and emergency procedures. Advance Emergency Techniques Course. Special 10 hour courses.","LEE -- Leesburg, FL",USA,"Steve Wolf: CFI, Kathy Hirtz"
96,Atlantic Airways,1005 Sycolin Road,,Leesburg,VA,20175,Steve Hutchens,703-779-8787,,shutchens@atlantic-airways.com,www.atlantic-airways.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"JYO -- Leesburg, VA",USA,""
97,Acro Dynamics LLC,149 Yeager Road,,Mooresville,NC,28117,Mikey Matthews,336 244 9592,,acrodynamics@yahoo.com,www.acrodynamics.org,1978 8kcab Bellanca Decathlon CS,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"14A -- Mooresville, NC",USA,Mikey Matthews: CFI
98,CLUB ACROBATICO ANDALUZ,Nivel 195 - Terminal de Pasajeros,Aeropuerto de Granada,Chauchina,Gr,18330,Jose Gonzalez,+34958446019,+34958446019,acrobacia@clubacrobaticoandaluz.org,www.clubacrobaticoandaluz.org,"Super Decathlon, Extra 300","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"LEGR -- Granada, Granada",Spain,"Jose Gonzalez, Daniel Moreno"
100,OZAEROS,,,Melbourne,,,David Pilkington,0447 800 542,,David.Pilkington@ozaeros.com,http://www.ozaeros.net/,Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",CASA delegate for low level aerobatic permissions,"MBW -- Melbourne, ",Australia,""
101,Brandon Dreyer,,,,,,Brandon Dreyer,(778) 242-2671,,brandondreyer@gmail.com,,Student supplied at present time,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Competition aerobatics, Pitts Checkout",,"CYNJ -- Vancouver, British Columbia",Canada,""
103,San Diego Aerobatix,1793 N. Marshall Avenue D-9,,San Diego,CA,92020,Eamonn Powers,619-318-8364,,info@sdaerobatix.com,www.sdaerobatix.com,"8KCAB Super Decathlon, Extra 300L","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, RV aerobatics",,"KSEE -- San Diego, CA",USA,"Eamonn Powers: CFI, Jerb Johnson: CFI"
104,Lenair,Brordrupvej 44A,,Gadstrup,,DK-4621,Lennart Wahl,+4529900037,,Mail@lenair.dk,www.lenair.dk,Bellanca Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"EKRK -- Roskilde, ",Denmark,Lennart Wahl
105,Diamond Flight Centre London Inc.,2530 Blair Blvd.,,London,ON,N5V 3Z9,Mike Jones,519-457-5777,(519) 488-0621,mjones@dfclondon.com,http://www.dfclondon.com/,Grob G115C,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Also provide training towards Transport Canada Aerobatic Instructor Class 1 and Class 2,"CYXU -- London, Ontario",Canada,""
106,SKYPRO,Aerodromo de Santarem,,2000-468 Santarem,,,Pedro Dias,+00351965084611,,skyproaerobatics@gmail.com,www.skyproaerobatics.com,American Champion Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"LPSR -- Santarem, ",Portugal,""
107,Messersmith Aviation,165 Walnut Ridge Dr.,,Beaver Falls,PA,15010,David Messersmith,724-971-3242,,Airsick1@aol.com,,Owner Supplied.,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics, Glider aerobatics","Recreational thru IAC Competition training,  Aeronca to Zlin. Airshow and Warbird aerobatic training  (prop and jet)","BVI -- Beaver Falls, PA",USA,""
108,Rocky Mountain Airsports LLC,3151 Blue Mesa Dr.,,Divide,CO,80814,Greg Baker,804-815-4891,,fly@rockymountainairsports.com,www.rockymountainairsports.com,Customer provided,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",,"KFLY -- Peyton, CO",USA,Greg Baker: MCFI-A
109,"Risher Aviation, Inc.",65598 Solar Road,,Montrose,CO,81403,Jim Risher,970-274-3664,,pittstraining@gmail.com,www.pittstraining.com,Pitts S-2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics",Pitts S-2B available for dual instruction. We also instruct in owner airplanes and offer ferry services for all types of aircraft.,"KMTJ -- Montrose, CO",USA,"Jim Risher: CFI, Marshall Burr: CFI"
149,Acro Over Miami,4700 S.W. 108 Ave.,,Miami,FL,33165,Chris Kirk,305-335-6523,,chriskirk57@hotmail.com,,Citabria 7ECA,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Also available @KHWO-Hollywood Fl. Chris has 30+ yrs flying exp. in J3 Cubs to DC3â€™s. Specializing in CFI Spin Endorsements, Tailwheel Transitions, Recreational Aerobatics, Unusual Attitude Recovery, Advanced Flying Techniques & Aerobatic Thrill Rides.","KTMB -- Miami, FL",USA,Chris Kirk: CFI
112,Bruce Ballew,1636 Wildhorse Parkway Dr.,,Wildwood,MO,63005,Bruce Ballew,314-369-3723,,bruceballew@earthlink.net,,Pitts S2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"1H0 -- St. Louis, MO",USA,Bruce Ballew: CFI
113,Rich Stowell Consulting,P.O. Box 190,,Santa Paula,CA,93061-0190,Rich Stowell,805-218-0161,,rich@richstowell.com,www.richstowell.com,"Super Decathlon, Owner-supplied aircraft","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics","Summer location, generally June through September in Idaho","U70 -- Cascade, ID",USA,Rich Stowell: MCFI-A
114,Aerosport Limited,3900 Church Rd.,,Annapolis,MD,21401,Joe Gauvreau,301-346-8141,,jga1357@gmail.com,http://www.aerosportlimited.com,2004 American Champion GCBC,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"W00 -- Bowie, MD",USA,Joe Gauvreau: CFI
115,Mountain Airdance LLC,PO Box 6561,,Helena,MT,59604,Jeanne MacPherson,406-459-9408,,jemacpherson@msn.com,http://www.mountainairdancellc.com/,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Rich Stowell\'s EMT Course for upset recovery, stall/spins and introduction to aerobatics.","HLN -- Helena, MT",USA,Jeanne MacPherson: MCFI-A
116,USA Aerobatics,1022 Navarro St.,Suite 305,San Antonio,TX,78205,Jordan Schultz,210-725-7251,,jordan@usaaerobatics.com,usaaerobatics.com,"Pitts S-2B, J-3 Cub","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"5C1 -- San Antonio, TX",USA,""
118,Aces Up Aviation,405 Alcott Court,,Colorado Springs,CO,80921,Gary Frith,719-337-6012,,AcesUpAviation@juno.com,www.AcesUpAviation.com,Moravan Zlin 242L,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"FLY -- Falcon/Colorado Springs, CO",USA,Gary Frith: CFI
119,OK3 AIR,1980 Airport Rd,,Heber City,UT,84032,Nadim Abuhaidar,435-654-3962,435-654-4182,nabuhaidar@ok3air.com,www.ok3air.com,Extra 300L,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"36U -- Heber City, UT",USA,""
120,Monarch Sky,1420 Jetstream Drive,Suite 105,Henderson,NV,89052,Djavad Mostofizdeh,702-631-0386,,info@monarchsky.com,www.monarchsky.com,"7KCAB Citabria, Extra 330LC","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",FAA 141 Flight School/Flight Club,"KHND -- Henderson, NV",USA,"Brad James: CFI, Ron Preston: CFI, Christina Field: CFI"
121,Adventure Wings Aviation,217 Duncrest Avenue,Apartment 3,Monterey,CA,93940,Erik Fleming,831-383-8620,,badassflyer1@hotmail.com,www.adventurewingsaviation.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"MRY -- Monterey, CA",USA,Erik Fleming: CFI
123,"Ottawa Aviation Services Inc.,",220 Hunt Club,,Ottawa,On,K1V 1C1,Frank Brzobohaty,1-613-737-2933,,info@ottawaaviationservices.com,www.ottawaaviationservices.com/,Grob X2,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Also provide training towards Transport Canada Aerobatic Instructor Class 1 and Class 2.  Rental of aerobatic aircraft.,"CYOW -- Ottawa, Ontario",Canada,Frank Brzobohaty: CFI
125,First Aero Group,307 Madison Ave,,Moorestown,NJ,08057-3101,Jim Mancini,(856)313-2065,,Firstaerogroup@gmail.com,www.Firstaerogroup.com,Super Decathlon (2004),"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"KVAY -- Lumberton, NJ",USA,Jim Mancini: CFI
126,N51E Inc.,4341 Stetson Ave.,,Rosamond,CA,93560,Chuck Coleman,310-877-0041,,chuck@ctcoleman.com,www.ctcoleman.com,Extra 300L,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics","Instructor has over 3,000 hrs in the Extra 300 series alone.  IAC competitor, performed at hundreds of airshows, flown with thousands of others in the Extra 300 series.  Based at the historic Mojave CA airport where acro can be performed over airport.","MHV -- Mojave, CA",USA,Chuck Coleman: CFI
128,Aero Enterprises,15235 Madison Run Road,,Gordonsville,VA,22942,Dan Rogers,540-850-0984,888-488-1196,dan@flyacro.us,http://flyacro.us/,Bellanca Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Course syllabi are available on the our web.,"GVE -- Gordonsville, VA",USA,Dan Rogers: CFI
129,Glacier Air,PO Box 2014,,Squamish,Br,V8B 0B4,Colette Morin,604-898-9016,604-898-1553,info@glacierair.com,www.glacierair.com,Super Decathlon 8KCAB,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Instructors: Francois Leh & Michael Peare  Private, Commercial, Instructor and Aerobatic flight training plus Mountain Flying Courses.  Flight school is registered with PCTIA for Canadian tax tuition deductions.","CYSE -- Squamish, British Columbia",Canada,""
130,Adams Flight,11 Rembrandt Str,,Larnaca,La,6057,Andy Christou,+35799594307,,achristou@cytanet.com.cy,www.adamsflight.com,Super Decathlon,"Tailwheel endorsement, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"LCLK -- Larnaca, Larnaca",Cyprus,""
131,Desert West Aviation,79-880 42nd Avenue,,Bermuda Dunes,CA,92203,Parker Osborne,(760) 360-7400,(760) 360 7411,parker@desertwestaviation.com,desertwestaviation.com,Cessna 152 Aerobat,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"UDD -- Bermuda Dunes, CA",USA,""
132,Olmsted Aviation,320 E. Santa Maria St.  Suite A,,Santa Paula,CA,93060,Chris Olmsted,831-334-7232,,chris@olmstedaviation.com,olmstedaviation.com,Pitts S2-A,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout","Fly the premier aerobatic aircraft in our wavered aerobatic box, just 3 miles from the historic Santa Paula Airport. Our well-maintained Pitts Special is sure to put a smile on your face. Plane goes to 6 contests a year. Free lodging for out of town guest.","KSZP -- Santa Paula, CA",USA,""
133,Specialized Aviation,150 Aviation Way,Suite 101,Watsonville,CA,95076,Mary Macdonald,831-763-2244,831-761-2244,main@spheli.com,http://spheli.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"WVI -- Watsonville, CA",USA,""
134,Vertical Works,20802 N Grayhawk Drive,#1060,Scottsdale,AZ,85255,Ron Chadwick,732.865.1610,,bubbaron43@gmail.com,theverticalworks.com,Pitts S-2C,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout","Customer designed program, Primary thru Advanced, formation.  Instructor is active Advanced competitor.  Excellent year round weather.","SDL -- Scottsdale, AZ",USA,Ron Chadwick: CFI
135,Big Q Aviation,131 Airport Drive,Suite 109,Midlothian,TX,76065,Carol Walker,214-948-0440,214-948-0440,walkercl@aol.com,www.BigQAviation.com,"Great Lakes 2T-1A, Citabria 7GCBC, Grob 103 Acro","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Glider aerobatics",,"JWY -- Midlothian, TX",USA,"Porkchop Pywowarczuk: CFI-A, Carol Walker: CFI-A, Pete Setian: CFI-A"
136,"Pilot Training Northwest, LLC",PO Box 1110,,Sagle,ID,83860,Ken Larson,208 263 0326,,Ken@imaxmail.net,www.flightsafetynw.com,CE-A150M,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics","Year \\\'round vacation paradise, KSZT, 65S, KCOE","KSZT -- Sandpoint, ID",USA,""
138,Iowa Aerial Advertising LLC,415 11th Ave NW,,Independence,IA,50644,Jonathan Walter,319-961-2156,,jon@iowaaerialadvertising.com,http://www.iowaaerialadvertising.com,Citabria 7GCAA,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Emergency Maneuver Training also available.,"KIIB -- Independence, IA",USA,Jonathan Walter: CFI
139,Canadian Flight Center,#3 - 4335 Skeena Street,,Delta,BC,V4K 0A6,Anna Serbinenko,(604) 946-7744,(604) 946-8753,anna@cfc.aero,http://www.cfc.aero,"Super Decathlon, Citabria","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Pitts Checkout, RV aerobatics",,"CZBB -- Delta, British Columbia",Canada,""
140,Aviation MH Inc.,63 Casgrain,,RIVIERE-DU-LOUP,Qu,G5R6H6,Martin Hivon,418-894-7492,,aviationmh@gmail.com,www.aviationmh.com,American Champion Aircraft Explorer,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Tailwheel training even though no endorsement required in Canada.  Martin Hivon is an Aerobatic Instructor.,"CYRI -- RIVIERE-DU-LOUP, Quebec",Canada,Martin Hivon
141,Vet Air LLC,491 South Rd,,Somers,CT,06071,Chuck Cohen,860-841-9659,,ccohen7@cox.net,,"Extra 300L, Super Decathlon, student owned aircraft.","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Business phone:  860-763-0847.  Competition instruction Primary thru Unlimited.  Instructors have extensive competition experience.,"BAF -- Westfield/Barnes, MA",USA,"Chuck Cohen: CFI, Bob Cipolli: CFI"
142,"Dagmar Aerobatics, Inc",11614 Bell Cross Circle,,Parker,CO,80138-8758,Dagmar Kress,303-887-4473,,DagmarAerobatics@me.com,www.DagmarAerobatics.com,Pitts-S2C,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",,"APA -- Denver, CO",USA,Dagmar Kress: CFI
143,"5g Aviation, Inc.",19711 Campus Drive,Suite A,Santa Ana,CA,92707,Ty Frisby,800-337-3595,,info@fly5g.com,www.fly5g.com,"2012 Super Decathlon, 2005 Extra 300LP","Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout, RV aerobatics, Glider aerobatics",5g Aviation is an authorized ACA sales center and an aerobatic flight school.,"SNA -- Santa Ana, CA",USA,"Ty Frisby: CFI, Gray Brandt: CFI, Ron Rapp: CFI, Chris Bebensee: CFI, Debby Laslo: CFI, Michelle Kole: CFI, Eric Bushouse: CFI, Ted Inkmann: CFI, John Scruggs: CFI, Chaz Perrigoue: CFI"
144,Aviation RL (ARL),28 l\\\'epervier,,Lachute,Qu,J8H 0L9,Raphael Langumier,450-562-3990,,arlaviation@gmail.com,www.arlaviation.com,Customer aircraft,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"CSE4 -- Lachute, Quebec",Canada,Raphael Langumier: CFI
145,Eagle Flight Services,88 Courtice Crescent,,Collingwood,ON,L9Y4G1,David Michalenko,877-359-3245,,dave@flyeagle.ca,www.flyeagle.ca,C150 Aerobat,"Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",Provide training towards Class 1 and 2 Aerobatics Instructor Rating.,"CNY3 -- Collingwood, Ontario",Canada,""
146,"Smoke-On Aerobatics, LLC",8831 Highland Lake Drive,,Georgetown,IN,47122,Chris Napier,812-399-2014,,Chris@Smoke-On-Aerobatics.com,Smoke-On-Aerobatics.com,8KCAB Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics",,"I83 -- Salem, IN",USA,""
147,Keith Davis - Aerobatics,306 4th Ave,,Fayetteville,TN,37334,Keith Davis - Aerobatics,805-550-1928,,Keith@joecessna.com,http://kdairshows.com/,Pitts S-2B,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics, Pitts Checkout",,"FYM -- Fayetteville, TN",USA,""
175,John Cox,2279 Country Road 2425,,DeWitt,NE,68341,John Cox,402.239.3953,,jc01220@windstream.net,JohnCoxCFI.com,Super Decathlon,"Tailwheel endorsement, Stall/spin recovery, Unusual attitude/upset training, Basic aerobatics, Competition aerobatics",Specializing in first-timers and low-impact aerobatics for recreation,"BIE -- Beatrice, NE",USA,""
